train_acc,test_acc
0.381,0.445
0.433,0.498
0.477,0.535
0.499,0.564
0.523,0.592
0.51,0.59
0.564,0.638
0.568,0.65
0.58,0.661
0.592,0.671
0.598,0.683
0.605,0.678
0.621,0.706
0.622,0.706
0.643,0.719
0.631,0.717
0.65,0.729
0.661,0.744
0.663,0.748
0.666,0.744
0.672,0.75
0.68,0.759
0.685,0.758
0.691,0.769
0.693,0.772
0.694,0.772
0.698,0.765
0.71,0.776
0.709,0.779
0.704,0.773
0.708,0.775
0.715,0.783
0.724,0.802
0.716,0.796
0.727,0.797
0.729,0.797
0.733,0.802
0.729,0.794
0.735,0.792
0.737,0.802
0.739,0.802
0.776,0.822
0.779,0.828
0.784,0.825
0.783,0.829
0.789,0.832
0.788,0.831
0.792,0.833
0.79,0.833
0.793,0.83
